item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11,item12
Jam,Coconut,Coffee Powder,Rice,Chili Powder,Bell Peppers,Tea Powder,Mango,Mint Leaves,Ginger,Guava,
Carrot,Butter,Semolina,Mint Leaves,Besan,,,,,,,
Tea Powder,Pickle,Lassi,Dals,Chili Powder,Coffee Powder,,,,,,
Fenugreek Leaves,Mustard Seeds,Cumin Seeds,Potato,Coconut,,,,,,,
Cabbage,Green Chili,Papaya,Cooking Oil,Biscuits,Mint Leaves,Spinach,Garlic,Honey,,,
Tea Powder,Capsicum,Yogurt,Coffee Powder,Cooking Oil,Orange,Lemon,Sooji,Wheat Flour,Bread,Potato,Dals
Potato,Lassi,Sooji,Paneer,Turmeric Powder,Beetroot,Wheat Flour,,,,,
Papaya,Coriander,Tamarind,Salt,Yogurt,,,,,,,
Milk,Carrot,Green Chili,Okra,Semolina,,,,,,,
Lemon,Tea Powder,Biscuits,Mustard Seeds,Milk,Salt,Potato,Beetroot,Mint Leaves,Dals,,
Spinach,Onions,Pickle,Butter,Mango,Guava,Fenugreek Leaves,Cheese,Sooji,Orange,Curd,
Mustard Seeds,Bell Peppers,Potato,Coriander,Milk,Okra,Sugar,Fenugreek Leaves,Biscuits,Coffee Powder,Sooji,Banana
Cheese,Fenugreek Leaves,Papaya,Ginger,Coriander,Jam,Okra,Mango,Sugar,Guava,Tea Powder,Onions
Salt,Onions,Semolina,Paneer,Fenugreek Leaves,Tea Powder,Dals,Cumin Seeds,Brinjal,Apple,Turmeric Powder,
Paneer,Pomegranate,Banana,Sooji,Bell Peppers,Biscuits,Capsicum,Bread,Salt,Carrot,,
Bell Peppers,Lemon,Ginger,Capsicum,Garlic,Wheat Flour,Sugar,Rice,Cheese,Pickle,Onions,
Coconut,Brinjal,Paneer,Spinach,Coffee Powder,Capsicum,Mustard Seeds,Pomegranate,Bread,Papaya,,
Garlic,Honey,Chili Powder,Coffee Powder,Fenugreek Leaves,Mint Leaves,Lassi,Potato,,,,
Orange,Capsicum,Cabbage,Garlic,Lemon,Turmeric Powder,Coriander,Lassi,Brinjal,,,
Mint Leaves,Ginger,Lassi,Butter,Paneer,Semolina,Curd,Coconut,Apple,Jam,Coriander,Chili Powder
Paneer,Garlic,Papaya,Salt,Tamarind,Butter,Pomegranate,Sooji,Bread,Curd,Wheat Flour,Coriander
Fenugreek Leaves,Coconut,Pomegranate,Turmeric Powder,Onions,Potato,Yogurt,Mango,Orange,Carrot,Capsicum,Sooji
Curd,Tamarind,Beetroot,Dals,Bell Peppers,Pomegranate,Sugar,,,,,
Rice,Dals,Mint Leaves,Cheese,Yogurt,Bread,Orange,Guava,Banana,,,
Papaya,Fenugreek Leaves,Cumin Seeds,Yogurt,Bread,Semolina,Dals,Honey,Besan,,,
Jam,Carrot,Coffee Powder,Tea Powder,Salt,Cabbage,Mustard Seeds,,,,,
Ginger,Mustard Seeds,Tomato,Sugar,Milk,Besan,Coriander,Potato,Papaya,Bread,,
Curd,Lassi,Cumin Seeds,Banana,Orange,Apple,Paneer,Ginger,,,,
Cumin Seeds,Rice,Cauliflower,Papaya,Cooking Oil,Paneer,Coriander,,,,,
Salt,Beetroot,Paneer,Coffee Powder,Chili Powder,Semolina,Wheat Flour,Fenugreek Leaves,Cooking Oil,Banana,,
Capsicum,Cheese,Fenugreek Leaves,Wheat Flour,Potato,,,,,,,
Yogurt,Butter,Honey,Guava,Coriander,Pomegranate,Cooking Oil,Biscuits,Banana,Turmeric Powder,Orange,Wheat Flour
Coriander,Honey,Yogurt,Brinjal,Cauliflower,,,,,,,
Tamarind,Turmeric Powder,Salt,Besan,Pickle,Carrot,Cauliflower,Tomato,Okra,Capsicum,Milk,
Green Chili,Mustard Seeds,Dals,Potato,Carrot,Curd,Cheese,Mint Leaves,Coffee Powder,Rice,Banana,Cauliflower
Cheese,Okra,Brinjal,Apple,Salt,Semolina,Jam,Beetroot,,,,
Mango,Coriander,Wheat Flour,Pomegranate,Tea Powder,Bread,Semolina,Tamarind,Salt,,,
Salt,Potato,Coconut,Spinach,Coriander,Butter,,,,,,
Cumin Seeds,Sooji,Fenugreek Leaves,Biscuits,Coffee Powder,,,,,,,
Cooking Oil,Bell Peppers,Garlic,Rice,Tamarind,Potato,Butter,Wheat Flour,,,,
Tamarind,Tea Powder,Apple,Spinach,Wheat Flour,Guava,Semolina,,,,,
Garlic,Besan,Yogurt,Salt,Paneer,Orange,Green Chili,Cauliflower,Ginger,Lemon,Okra,
Lassi,Paneer,Cheese,Beetroot,Tea Powder,Jam,Banana,Brinjal,,,,
Ginger,Salt,Potato,Banana,Lassi,Bread,Pickle,Tea Powder,Okra,Turmeric Powder,Beetroot,
Carrot,Mango,Mint Leaves,Dals,Beetroot,Apple,Sugar,Guava,Tea Powder,Fenugreek Leaves,Biscuits,
Banana,Turmeric Powder,Cabbage,Orange,Lemon,Tea Powder,Bell Peppers,Cauliflower,,,,
Chili Powder,Coconut,Sugar,Pickle,Milk,Sooji,Beetroot,Lemon,Cabbage,,,
Apple,Coconut,Yogurt,Capsicum,Coriander,Cooking Oil,Carrot,Banana,Biscuits,Tea Powder,Green Chili,
Salt,Mint Leaves,Yogurt,Dals,Capsicum,Cooking Oil,Ginger,Chili Powder,Tomato,Spinach,Honey,
Cumin Seeds,Curd,Milk,Yogurt,Coconut,Besan,Semolina,Orange,Coriander,,,
Lemon,Milk,Jam,Cumin Seeds,Orange,Coffee Powder,Carrot,Capsicum,Tea Powder,,,
Brinjal,Besan,Beetroot,Carrot,Apple,Coriander,Garlic,Orange,,,,
Orange,Beetroot,Jam,Chili Powder,Onions,,,,,,,
Lemon,Ginger,Fenugreek Leaves,Coffee Powder,Okra,,,,,,,
Tamarind,Chili Powder,Brinjal,Banana,Cumin Seeds,Lassi,Salt,Okra,,,,
Salt,Coffee Powder,Curd,Semolina,Banana,Cumin Seeds,Lemon,,,,,
Garlic,Turmeric Powder,Guava,Orange,Sooji,Ginger,Coriander,Wheat Flour,Curd,Cauliflower,Rice,Onions
Potato,Pickle,Guava,Semolina,Sugar,Tomato,Garlic,Turmeric Powder,,,,
Tamarind,Turmeric Powder,Lassi,Besan,Wheat Flour,,,,,,,
Coffee Powder,Paneer,Cabbage,Ginger,Okra,Cheese,Sugar,Potato,Lassi,Salt,,
Jam,Guava,Mustard Seeds,Banana,Carrot,Dals,Bread,Green Chili,,,,
Cumin Seeds,Sugar,Carrot,Brinjal,Guava,Beetroot,Pomegranate,,,,,
Guava,Turmeric Powder,Garlic,Dals,Mango,Banana,Carrot,Wheat Flour,Beetroot,,,
Turmeric Powder,Chili Powder,Brinjal,Guava,Apple,Salt,Papaya,,,,,
Pomegranate,Capsicum,Biscuits,Tea Powder,Jam,Garlic,Cooking Oil,,,,,
Biscuits,Spinach,Banana,Beetroot,Milk,Turmeric Powder,,,,,,
Coriander,Bell Peppers,Coffee Powder,Cumin Seeds,Mint Leaves,Lemon,Tomato,Tamarind,Sooji,Cauliflower,Besan,Pickle
Orange,Rice,Carrot,Lassi,Mustard Seeds,Cooking Oil,Besan,Spinach,Butter,,,
Semolina,Beetroot,Chili Powder,Brinjal,Onions,Wheat Flour,Banana,Coffee Powder,Okra,Milk,Curd,
Pickle,Fenugreek Leaves,Bread,Carrot,Coffee Powder,Lemon,Biscuits,,,,,
Orange,Coconut,Besan,Dals,Pomegranate,Wheat Flour,Onions,,,,,
Coriander,Milk,Bread,Cauliflower,Rice,,,,,,,
Mint Leaves,Cumin Seeds,Carrot,Besan,Chili Powder,Beetroot,Spinach,,,,,
Mint Leaves,Wheat Flour,Cooking Oil,Jam,Cauliflower,Ginger,Lemon,Green Chili,,,,
Turmeric Powder,Beetroot,Paneer,Brinjal,Onions,Dals,Banana,Biscuits,Tamarind,,,
Chili Powder,Milk,Fenugreek Leaves,Salt,Tea Powder,Biscuits,Sooji,,,,,
Lemon,Tomato,Apple,Turmeric Powder,Guava,,,,,,,
Green Chili,Salt,Cauliflower,Milk,Bread,Orange,Carrot,Ginger,Lemon,Coconut,Jam,
Bread,Potato,Orange,Sugar,Pomegranate,Milk,,,,,,
Green Chili,Jam,Bell Peppers,Rice,Brinjal,Salt,Honey,Banana,Pickle,,,
Papaya,Cheese,Coriander,Potato,Lassi,Mustard Seeds,Orange,Bread,Spinach,Cauliflower,Tamarind,Sooji
Onions,Spinach,Sugar,Coffee Powder,Cabbage,Orange,Turmeric Powder,Bread,Ginger,,,
Orange,Lassi,Tamarind,Salt,Semolina,Biscuits,Coriander,Bell Peppers,,,,
Butter,Onions,Cauliflower,Mint Leaves,Cooking Oil,Bell Peppers,Yogurt,Spinach,Wheat Flour,,,
Brinjal,Turmeric Powder,Pickle,Honey,Chili Powder,Guava,Green Chili,Ginger,Garlic,,,
Carrot,Dals,Capsicum,Bread,Ginger,Lemon,Orange,,,,,
Lemon,Cabbage,Sooji,Dals,Garlic,Banana,Cauliflower,Potato,Mint Leaves,Brinjal,Paneer,Okra
Lemon,Coffee Powder,Garlic,Milk,Banana,,,,,,,
Green Chili,Pomegranate,Cauliflower,Mint Leaves,Cumin Seeds,Ginger,Cooking Oil,Rice,Salt,Jam,Guava,
Bell Peppers,Onions,Sugar,Tomato,Cheese,Curd,,,,,,
Curd,Capsicum,Orange,Mint Leaves,Dals,Cauliflower,Onions,Ginger,,,,
Lassi,Coriander,Besan,Cheese,Turmeric Powder,,,,,,,
Orange,Tamarind,Mint Leaves,Guava,Turmeric Powder,Besan,,,,,,
Bell Peppers,Honey,Curd,Garlic,Lemon,Onions,Dals,Turmeric Powder,Apple,Mango,Yogurt,Besan
Lassi,Milk,Coconut,Chili Powder,Yogurt,Tamarind,Green Chili,,,,,
Guava,Butter,Cauliflower,Spinach,Bread,,,,,,,
Carrot,Jam,Semolina,Brinjal,Biscuits,Onions,Bread,Milk,Ginger,Chili Powder,Sugar,
Bread,Salt,Paneer,Besan,Coconut,Butter,Yogurt,Mango,Cauliflower,Cabbage,Bell Peppers,Coriander
Dals,Paneer,Honey,Cabbage,Sugar,Coffee Powder,Lemon,,,,,
Potato,Spinach,Sooji,Tea Powder,Coffee Powder,Curd,Cooking Oil,Capsicum,,,,
Mango,Cauliflower,Cumin Seeds,Onions,Lassi,Cabbage,Papaya,Tamarind,Butter,Chili Powder,,
Mint Leaves,Turmeric Powder,Butter,Cabbage,Bread,,,,,,,
Paneer,Mustard Seeds,Chili Powder,Milk,Semolina,Dals,Jam,,,,,
Semolina,Pomegranate,Brinjal,Cabbage,Chili Powder,,,,,,,
Guava,Pickle,Beetroot,Lassi,Mint Leaves,Banana,Curd,Orange,Paneer,Apple,Salt,Cheese
Milk,Semolina,Spinach,Butter,Green Chili,Tamarind,,,,,,
Garlic,Tamarind,Pickle,Besan,Salt,Wheat Flour,Mustard Seeds,Fenugreek Leaves,Cumin Seeds,Tomato,Butter,Green Chili
Fenugreek Leaves,Dals,Semolina,Paneer,Banana,Tea Powder,Beetroot,Coconut,Curd,Wheat Flour,,
Yogurt,Okra,Beetroot,Semolina,Brinjal,Apple,,,,,,
Semolina,Yogurt,Brinjal,Beetroot,Besan,Lassi,Carrot,Honey,Pomegranate,Mint Leaves,,
Salt,Biscuits,Cheese,Capsicum,Tomato,Pomegranate,Paneer,Coriander,Green Chili,,,
Apple,Orange,Dals,Cumin Seeds,Bell Peppers,,,,,,,
Tamarind,Ginger,Semolina,Curd,Dals,Besan,Chili Powder,Paneer,Carrot,Turmeric Powder,,
Mustard Seeds,Semolina,Honey,Tomato,Potato,Coconut,Apple,Biscuits,,,,
Lemon,Sooji,Coconut,Mustard Seeds,Tamarind,Ginger,Coffee Powder,Mango,Banana,Wheat Flour,Bread,
Besan,Potato,Jam,Guava,Curd,Paneer,Yogurt,Cauliflower,Cabbage,Ginger,,
Cauliflower,Sooji,Bread,Garlic,Mango,,,,,,,
Bell Peppers,Paneer,Okra,Brinjal,Sugar,Salt,Coffee Powder,,,,,
Coffee Powder,Tea Powder,Banana,Okra,Milk,Apple,Carrot,Mango,,,,
Cumin Seeds,Ginger,Honey,Fenugreek Leaves,Guava,Chili Powder,Jam,Orange,Onions,,,
Brinjal,Potato,Ginger,Guava,Coriander,Sooji,Bell Peppers,Carrot,Sugar,Coconut,,
Tomato,Spinach,Okra,Apple,Green Chili,Semolina,Paneer,Bread,Tea Powder,,,
Tea Powder,Lemon,Tamarind,Capsicum,Mustard Seeds,Orange,Coffee Powder,Fenugreek Leaves,Tomato,Yogurt,Dals,
Cumin Seeds,Fenugreek Leaves,Butter,Tamarind,Spinach,Turmeric Powder,Sooji,Coriander,,,,
Brinjal,Jam,Biscuits,Mustard Seeds,Mango,Sugar,Cheese,Tamarind,,,,
Green Chili,Rice,Semolina,Cabbage,Paneer,Mint Leaves,Besan,Cauliflower,Guava,,,
Lassi,Bread,Orange,Carrot,Sooji,Wheat Flour,Fenugreek Leaves,Banana,Sugar,Pomegranate,,
Tea Powder,Beetroot,Honey,Coconut,Fenugreek Leaves,Turmeric Powder,Butter,Brinjal,Dals,Cooking Oil,Lassi,Milk
Cauliflower,Green Chili,Potato,Mint Leaves,Papaya,,,,,,,
Capsicum,Banana,Guava,Cabbage,Orange,Jam,Apple,,,,,
Tamarind,Bread,Chili Powder,Brinjal,Beetroot,Yogurt,Cauliflower,Spinach,Ginger,Bell Peppers,Potato,Mint Leaves
Wheat Flour,Potato,Lassi,Okra,Garlic,,,,,,,
Butter,Cooking Oil,Coffee Powder,Cumin Seeds,Mustard Seeds,Guava,Apple,Jam,Paneer,Bread,,
Yogurt,Curd,Cauliflower,Dals,Capsicum,Cooking Oil,Potato,,,,,
Mango,Rice,Semolina,Milk,Coconut,,,,,,,
Pomegranate,Butter,Spinach,Mustard Seeds,Coriander,Banana,Besan,Capsicum,Biscuits,Wheat Flour,,
Cauliflower,Papaya,Paneer,Salt,Garlic,Capsicum,Lemon,Brinjal,Turmeric Powder,,,
Coriander,Beetroot,Banana,Honey,Semolina,Fenugreek Leaves,Milk,Cabbage,Dals,Wheat Flour,,
Guava,Orange,Brinjal,Lemon,Sooji,Onions,Apple,Bread,Rice,Tamarind,Mango,
Tea Powder,Cauliflower,Cooking Oil,Pomegranate,Salt,Potato,,,,,,
Coffee Powder,Cauliflower,Pomegranate,Carrot,Yogurt,Jam,Turmeric Powder,Banana,Okra,Wheat Flour,Cheese,Cooking Oil
Banana,Jam,Coriander,Rice,Tea Powder,Dals,Apple,Pickle,,,,
Bread,Sugar,Onions,Chili Powder,Beetroot,Jam,Milk,Pomegranate,Dals,Orange,Coffee Powder,Curd
Tomato,Banana,Guava,Cheese,Tea Powder,Lassi,Sooji,Coffee Powder,Fenugreek Leaves,Carrot,Mango,Chili Powder
Milk,Biscuits,Sooji,Spinach,Paneer,,,,,,,
Lassi,Brinjal,Banana,Mustard Seeds,Curd,Garlic,Ginger,Butter,Pomegranate,Coconut,,
Mint Leaves,Capsicum,Biscuits,Lassi,Coriander,Brinjal,Paneer,Apple,Tomato,,,
Spinach,Dals,Rice,Fenugreek Leaves,Pomegranate,,,,,,,
Bell Peppers,Besan,Papaya,Potato,Salt,Bread,Turmeric Powder,Spinach,,,,
Jam,Spinach,Tea Powder,Potato,Cauliflower,Milk,Pomegranate,Tomato,Dals,Fenugreek Leaves,Coriander,
Bell Peppers,Dals,Beetroot,Biscuits,Jam,Butter,Tamarind,Carrot,,,,
Garlic,Green Chili,Coriander,Cumin Seeds,Orange,Pomegranate,Paneer,Yogurt,Ginger,Lemon,,
Pickle,Milk,Sugar,Coriander,Bread,Coconut,Beetroot,Besan,Okra,,,
Onions,Guava,Butter,Dals,Bell Peppers,Banana,Cooking Oil,Lassi,Coriander,,,
Cooking Oil,Cheese,Apple,Tomato,Potato,Fenugreek Leaves,Cauliflower,Cumin Seeds,Semolina,Biscuits,,
Cooking Oil,Mango,Chili Powder,Yogurt,Coffee Powder,Curd,Dals,Guava,Banana,Lassi,Wheat Flour,Coriander
Tomato,Garlic,Coconut,Spinach,Mustard Seeds,Sugar,Cooking Oil,,,,,
Paneer,Honey,Tea Powder,Butter,Beetroot,Biscuits,Semolina,Guava,,,,
Bell Peppers,Biscuits,Curd,Cooking Oil,Pomegranate,Orange,Tomato,Paneer,Besan,Salt,,
Honey,Pickle,Bread,Chili Powder,Guava,Bell Peppers,Spinach,Curd,Ginger,Brinjal,Mint Leaves,
Green Chili,Butter,Beetroot,Besan,Garlic,Mango,Pomegranate,Milk,Wheat Flour,Papaya,Semolina,Cooking Oil
Cheese,Mustard Seeds,Butter,Coffee Powder,Cooking Oil,,,,,,,
Orange,Cauliflower,Guava,Semolina,Curd,Cooking Oil,Cumin Seeds,Bread,Tomato,,,
Banana,Coconut,Pickle,Garlic,Dals,Green Chili,Semolina,Cheese,Chili Powder,Papaya,Potato,Apple
Capsicum,Garlic,Wheat Flour,Yogurt,Rice,Cauliflower,Guava,,,,,
Cabbage,Capsicum,Honey,Rice,Chili Powder,,,,,,,
Mint Leaves,Okra,Ginger,Apple,Banana,Brinjal,Sooji,Carrot,Rice,Chili Powder,Onions,Guava
Beetroot,Semolina,Guava,Cabbage,Paneer,Cauliflower,Ginger,,,,,
Cauliflower,Banana,Chili Powder,Tomato,Garlic,Carrot,Mint Leaves,,,,,
Milk,Garlic,Coffee Powder,Okra,Jam,,,,,,,
Chili Powder,Green Chili,Curd,Coconut,Okra,Rice,,,,,,
Pomegranate,Mint Leaves,Jam,Coriander,Milk,Cauliflower,Potato,Wheat Flour,Yogurt,Semolina,Orange,Beetroot
Mint Leaves,Carrot,Sugar,Biscuits,Paneer,Rice,,,,,,
Turmeric Powder,Coconut,Salt,Mango,Honey,Coffee Powder,Banana,Paneer,Pomegranate,Semolina,Potato,Apple
Semolina,Cheese,Milk,Bell Peppers,Biscuits,Ginger,Mint Leaves,Tea Powder,,,,
Coffee Powder,Biscuits,Pomegranate,Cumin Seeds,Fenugreek Leaves,Tomato,,,,,,
Orange,Cumin Seeds,Mango,Coconut,Rice,Ginger,Salt,Spinach,Coffee Powder,Semolina,Turmeric Powder,Cabbage
Lemon,Cooking Oil,Cheese,Apple,Mustard Seeds,Jam,Guava,Paneer,Capsicum,Yogurt,Tomato,
Orange,Curd,Tea Powder,Bell Peppers,Coconut,Coriander,Semolina,Wheat Flour,Mango,,,
Spinach,Beetroot,Tomato,Jam,Green Chili,Cheese,Wheat Flour,Sooji,Capsicum,,,
Onions,Honey,Carrot,Tamarind,Garlic,Lemon,Semolina,Cooking Oil,Salt,Dals,,
Cheese,Coffee Powder,Fenugreek Leaves,Coriander,Cumin Seeds,Papaya,Butter,Potato,Chili Powder,Okra,Coconut,
Tamarind,Bread,Jam,Milk,Biscuits,Banana,,,,,,
Cumin Seeds,Banana,Beetroot,Papaya,Onions,Cabbage,Butter,Coffee Powder,Milk,Besan,Mint Leaves,Yogurt
Cumin Seeds,Semolina,Lemon,Cheese,Curd,Yogurt,Apple,Butter,Mustard Seeds,Sugar,Jam,Chili Powder
Cumin Seeds,Coconut,Banana,Cabbage,Mango,Pickle,Apple,Mint Leaves,Semolina,,,
Dals,Garlic,Bell Peppers,Salt,Coffee Powder,Turmeric Powder,Mango,Orange,Cabbage,,,
Onions,Banana,Honey,Beetroot,Tamarind,,,,,,,
Mustard Seeds,Ginger,Curd,Lassi,Pickle,Coffee Powder,Okra,Honey,Mango,,,
Mint Leaves,Lassi,Coriander,Bell Peppers,Curd,Butter,Guava,Salt,Capsicum,Cabbage,,
Paneer,Curd,Tea Powder,Okra,Lassi,Bell Peppers,Lemon,Jam,,,,
Brinjal,Lassi,Sugar,Besan,Rice,Guava,,,,,,
Rice,Biscuits,Lassi,Capsicum,Papaya,Brinjal,,,,,,
Lassi,Orange,Sooji,Tomato,Banana,Bread,Beetroot,Potato,Cabbage,,,
Wheat Flour,Chili Powder,Cabbage,Dals,Coriander,Spinach,Honey,Banana,Mint Leaves,Jam,Yogurt,
Coriander,Salt,Ginger,Carrot,Pickle,Cauliflower,Pomegranate,Besan,,,,
Tomato,Chili Powder,Rice,Butter,Turmeric Powder,Cauliflower,Cheese,Besan,Green Chili,,,
Biscuits,Cheese,Coconut,Semolina,Yogurt,Dals,Sugar,Papaya,Pomegranate,Besan,Apple,
Orange,Okra,Potato,Beetroot,Banana,Butter,Besan,Biscuits,Tamarind,Cooking Oil,Rice,
Turmeric Powder,Carrot,Pomegranate,Capsicum,Milk,Papaya,Lemon,Curd,,,,
Jam,Besan,Potato,Semolina,Lemon,Ginger,Papaya,Turmeric Powder,Milk,Brinjal,,
Yogurt,Capsicum,Curd,Cauliflower,Tamarind,Semolina,Besan,Fenugreek Leaves,Cooking Oil,,,
Paneer,Carrot,Onions,Jam,Green Chili,Salt,Bell Peppers,,,,,
Semolina,Sugar,Ginger,Bread,Guava,Jam,Bell Peppers,Mustard Seeds,Coconut,Tamarind,Banana,
Cooking Oil,Spinach,Besan,Wheat Flour,Potato,Cheese,Dals,Garlic,,,,
Yogurt,Chili Powder,Cabbage,Banana,Cheese,Pomegranate,,,,,,
Mustard Seeds,Green Chili,Coriander,Onions,Coconut,Guava,Papaya,Sooji,,,,
Okra,Cooking Oil,Beetroot,Turmeric Powder,Cumin Seeds,Lemon,Tomato,Carrot,Chili Powder,Yogurt,Honey,
Sugar,Mustard Seeds,Coriander,Orange,Papaya,Besan,Dals,Milk,Brinjal,,,
Cheese,Lemon,Beetroot,Sooji,Mustard Seeds,Dals,Okra,Tea Powder,,,,
Besan,Mango,Carrot,Lassi,Jam,Semolina,Tamarind,Banana,Potato,,,
Cheese,Coffee Powder,Papaya,Mint Leaves,Onions,Lassi,Turmeric Powder,,,,,
Apple,Cauliflower,Rice,Tamarind,Tea Powder,Ginger,Butter,Tomato,,,,
Potato,Sooji,Butter,Onions,Lemon,Pomegranate,Mango,Salt,Coffee Powder,Semolina,Rice,
Biscuits,Capsicum,Green Chili,Yogurt,Cheese,Garlic,Lemon,Wheat Flour,Orange,Brinjal,Beetroot,Turmeric Powder
Tamarind,Apple,Mustard Seeds,Semolina,Spinach,Bell Peppers,Fenugreek Leaves,Garlic,,,,
Sugar,Biscuits,Potato,Cauliflower,Chili Powder,,,,,,,
Spinach,Besan,Coriander,Bread,Jam,Garlic,Papaya,Tea Powder,,,,
Green Chili,Brinjal,Tomato,Pickle,Wheat Flour,Ginger,Onions,Curd,,,,
Papaya,Tamarind,Garlic,Semolina,Biscuits,Paneer,Mustard Seeds,Potato,Onions,Coriander,Okra,Mango
Fenugreek Leaves,Beetroot,Orange,Cooking Oil,Bell Peppers,Pickle,Apple,Potato,Cabbage,Biscuits,Bread,Curd
Tamarind,Coffee Powder,Green Chili,Sugar,Ginger,Rice,,,,,,
Jam,Rice,Guava,Mint Leaves,Lassi,Yogurt,Sugar,Cabbage,Carrot,,,
Dals,Coconut,Beetroot,Capsicum,Rice,Apple,Cooking Oil,Butter,Sooji,Coffee Powder,Besan,
Coriander,Tamarind,Bread,Beetroot,Ginger,Coffee Powder,Besan,,,,,
Lemon,Lassi,Yogurt,Pickle,Garlic,Butter,Potato,Wheat Flour,Chili Powder,,,
Papaya,Spinach,Pickle,Dals,Sooji,Beetroot,Apple,Carrot,Orange,Cooking Oil,Cheese,
Orange,Wheat Flour,Fenugreek Leaves,Honey,Tamarind,Butter,Coriander,Cumin Seeds,Semolina,Apple,,
Chili Powder,Pickle,Onions,Apple,Salt,Banana,Bell Peppers,Mint Leaves,Rice,Mustard Seeds,Cooking Oil,
Coconut,Tamarind,Dals,Lemon,Milk,,,,,,,
Banana,Capsicum,Lassi,Paneer,Cabbage,Pomegranate,Guava,Potato,,,,
Garlic,Butter,Rice,Sugar,Biscuits,Lassi,Brinjal,Orange,Lemon,Capsicum,Beetroot,Chili Powder
Tomato,Cheese,Pickle,Salt,Potato,Wheat Flour,Milk,Capsicum,,,,
Okra,Cumin Seeds,Bell Peppers,Chili Powder,Dals,Yogurt,Coriander,Potato,Cauliflower,,,
Honey,Mint Leaves,Green Chili,Mustard Seeds,Cooking Oil,Butter,Beetroot,Lemon,Jam,,,
Chili Powder,Papaya,Banana,Besan,Cumin Seeds,Mint Leaves,Wheat Flour,Spinach,Salt,Curd,Pomegranate,
Lemon,Butter,Salt,Capsicum,Tea Powder,Turmeric Powder,Biscuits,Cumin Seeds,Carrot,Sugar,,
Tea Powder,Lemon,Mango,Onions,Bell Peppers,Honey,Cooking Oil,Tomato,Sooji,Rice,Pomegranate,
Cauliflower,Cooking Oil,Wheat Flour,Banana,Honey,Beetroot,Green Chili,Rice,Jam,Semolina,,
Garlic,Jam,Honey,Spinach,Cheese,,,,,,,
Mango,Rice,Turmeric Powder,Cheese,Potato,Fenugreek Leaves,Tea Powder,Pomegranate,Carrot,Ginger,,
Wheat Flour,Onions,Brinjal,Turmeric Powder,Papaya,Jam,Besan,Banana,Biscuits,,,
Mint Leaves,Apple,Coriander,Wheat Flour,Butter,Pomegranate,,,,,,
Jam,Bread,Cumin Seeds,Mint Leaves,Honey,Tea Powder,,,,,,
Mango,Mustard Seeds,Onions,Beetroot,Papaya,Carrot,Capsicum,Coriander,Chili Powder,Green Chili,Tea Powder,Potato
Lemon,Papaya,Tomato,Cumin Seeds,Okra,,,,,,,
Dals,Salt,Pickle,Coriander,Curd,Chili Powder,,,,,,
Chili Powder,Pomegranate,Biscuits,Guava,Capsicum,Cabbage,Ginger,Bread,Mustard Seeds,Papaya,Onions,Tea Powder
Yogurt,Carrot,Jam,Tamarind,Potato,Orange,Rice,Coriander,Banana,Spinach,,
Coriander,Wheat Flour,Turmeric Powder,Capsicum,Ginger,Curd,Mustard Seeds,Bread,Salt,,,
Tomato,Tea Powder,Chili Powder,Lemon,Jam,Besan,Beetroot,Cooking Oil,Okra,,,
Milk,Mango,Honey,Fenugreek Leaves,Ginger,Brinjal,Apple,Potato,Cheese,,,
Pomegranate,Rice,Capsicum,Tea Powder,Dals,Apple,Butter,Papaya,Fenugreek Leaves,,,
Apple,Coconut,Coriander,Besan,Carrot,Turmeric Powder,Sooji,,,,,
Guava,Garlic,Coriander,Paneer,Cheese,Orange,Mint Leaves,,,,,
Mustard Seeds,Rice,Capsicum,Garlic,Cheese,,,,,,,
Lassi,Cabbage,Bell Peppers,Guava,Carrot,Bread,Pickle,,,,,
Guava,Okra,Apple,Capsicum,Cheese,Bell Peppers,Dals,Beetroot,,,,
Papaya,Spinach,Pomegranate,Garlic,Capsicum,Apple,,,,,,
Wheat Flour,Mustard Seeds,Paneer,Rice,Ginger,Biscuits,Cabbage,Papaya,Honey,,,
Yogurt,Pickle,Cabbage,Green Chili,Besan,,,,,,,
Lassi,Semolina,Salt,Honey,Milk,Ginger,,,,,,
Tamarind,Mango,Butter,Ginger,Jam,Chili Powder,Onions,Cauliflower,Lassi,Bread,Capsicum,
Pomegranate,Fenugreek Leaves,Coconut,Jam,Salt,Pickle,Mint Leaves,Lemon,Turmeric Powder,Bell Peppers,,
Dals,Pomegranate,Chili Powder,Onions,Bell Peppers,Cooking Oil,Tea Powder,Salt,Apple,,,
Salt,Cabbage,Ginger,Cheese,Capsicum,Cooking Oil,Coconut,Sooji,Carrot,Brinjal,Mint Leaves,
Sooji,Green Chili,Wheat Flour,Paneer,Potato,,,,,,,
Apple,Carrot,Banana,Wheat Flour,Cauliflower,Onions,Sugar,Yogurt,Curd,Salt,Semolina,Mango
Sooji,Carrot,Butter,Pomegranate,Apple,Lassi,Rice,Banana,Curd,Turmeric Powder,Brinjal,
Bell Peppers,Capsicum,Brinjal,Sugar,Dals,Jam,Okra,Tea Powder,Rice,Semolina,Pomegranate,Milk
Cheese,Milk,Dals,Bell Peppers,Orange,Carrot,Tea Powder,Banana,Curd,,,
Coconut,Dals,Lassi,Cumin Seeds,Beetroot,Pickle,,,,,,
